,Program Name,Program Type,Avg Days Between Inspections
19716,ACTIVE START COUNTRY HILLS,DAY CARE PROGRAM,10.458563535911603
19717,OAKS & ACORNS MONTESSORI CHILDCARE,DAY CARE PROGRAM,50.546875
19718,LAUGH 'N' LEARN AT BOW VALLEY COLLEGE,DAY CARE PROGRAM,42.53846153846154
19719,LITTLE STEPS,PRE-SCHOOL PROGRAM,47.861111111111114
19720,CANCARE CHILDREN'S CENTRE II,DAY CARE PROGRAM,33.59183673469388
19721,CORNERSTONE CHILD DAYCARE INC.,DAY CARE PROGRAM,80.32
19722,FALCONRIDGE/CASTLERIDGE PRESCHOOL PROGRAM,PRE-SCHOOL PROGRAM,64.26470588235294
19723,EARLY DISCOVERIES NURSERY SCHOOL - HAWKWOOD,FACILITY-BASED PROGRAM,130.3846153846154
19724,SADDLERIDGE DAYCARE OOSC,OUT OF SCHOOL CARE PROGRAM,44.40909090909091
19725,ZEBRA CROSSING MONTESSORI PRESCHOOL & KINDERGARTEN,PRE-SCHOOL PROGRAM,59.056603773584904
19726,EARLY DISCOVERIES NURSERY SCHOOL - THORNCLIFFE,PRE-SCHOOL PROGRAM,121.96153846153847
19727,CANCARE CHILDREN'S CENTRE I,OUT OF SCHOOL CARE PROGRAM,29.58974358974359
19728,BOWMONT COMMUNITY PRE-SCHOOL,PRE-SCHOOL PROGRAM,115.16666666666667
19729,AKIVA ACADEMY,OUT OF SCHOOL CARE PROGRAM,25.0
19730,FUNFLEX PLAYCARE,OUT OF SCHOOL CARE PROGRAM,4.34070796460177
19731,JUST FOR YOU DAY CARE 2004 LTD.,DAY CARE PROGRAM,37.85227272727273
19732,CUPS-ONE WORLD CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,48.16326530612245
19733,BRIGHTPATH FOREST HEIGHTS,DAY CARE PROGRAM,28.493827160493826
19734,CANCARE CHILDREN'S CENTRE I,DAY CARE PROGRAM,29.58974358974359
19735,LYCEE LOUIS PASTEUR SOCIETY,DAY CARE PROGRAM,30.448275862068964
19736,BRIGHT ADVENTURES DAYCARE LTD.,OUT OF SCHOOL CARE PROGRAM,15.463157894736842
19737,FLEDGLINGS EDUCARE CENTRE,DAY CARE PROGRAM,8.989473684210527
19738,VARSITY PRE-SCHOOL AND OUT-OF-SCHOOL RECREATION PROGRAM,PRE-SCHOOL PROGRAM,44.148648648648646
19739,GOOD START DAYCARE,PRE-SCHOOL PROGRAM,30.0
19740,CALGARY CHILD'S PLAY BEFORE & AFTER SCHOOL CARE @ ST. CLARE,OUT OF SCHOOL CARE PROGRAM,118.375
19741,KIDS@ CHURCHILL PARK BRIGHT LIGHTS,FACILITY-BASED PROGRAM,55.294117647058826
19742,ESG CHILD LEARNING CENTER,DAY CARE PROGRAM,16.87912087912088
19743,ALPINE MONTESSORI CHILDREN'S CENTRE,OUT OF SCHOOL CARE PROGRAM,21.549668874172184
