,Program Name,Type of Program,Program City,Postal Code,Capacity,Inspection Date,Inspection Reason,Non Compliance,Enforcement Action,Remedy Date,Program_Address,latitude,longitude
0,DISCOVERY TOTS DAYHOME LTD,FAMILY DAY HOME,CALGARY,T3H5T8,60,,,,,,402 DISCOVERY RIDGE BOULEVARD SW,51.01852,-114.22548
1,R&S QUALITY DAYHOME AGENCY,FAMILY DAY HOME,CALGARY,T1Y5P3,30,,,,,,3715 67 STREET NE,51.08617,-113.9373
2,THE MANGROVE TREE DAYHOME AGENCY,FAMILY DAY HOME,CALGARY,T2S2P5,30,,,,,,4013 STANLEY ROAD SW,51.01853,-114.0654
3,VIP KIDS CORP,FAMILY DAY HOME,CALGARY,T2X1P1,6,,,,,,340 MIDPARK WAY SE,50.90799,-114.06235
4,DAVAR CHILD CARE SOCIETY,FAMILY DAY HOME,CALGARY,T2E8V1,1026,,,,,,817 19 STREET NE,51.0588,-114.01341
5,BRIGHTPATH RUNDLE,FAMILY DAY HOME,CALGARY,T3H5T8,72,,,,,,402 DISCOVERY RIDGE BOULEVARD SW,51.01852,-114.22548
6,SONSHINE CHILDREN'S CENTRE,FAMILY DAY HOME,CALGARY,T3G0B4,12,,,,,,600 CROWFOOT CRESCENT NW,51.12918,-114.20332
7,SONSHINE CHILDREN'S CENTRE,FAMILY DAY HOME,CALGARY,T3H0H4,12,,,,,,109 ASPEN STONE PLACE SW,51.04557,-114.21176
8,BRIGHTPATH RUNDLE,FAMILY DAY HOME,CALGARY,T2S2P5,72,,,,,,4013 STANLEY ROAD SW,51.01853,-114.0654
9,SONSHINE CHILDREN'S CENTRE,FAMILY DAY HOME,CALGARY,T2X1P1,18,,,,,,340 MIDPARK WAY SE,50.90799,-114.06235
10,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,CALGARY,T2S2P5,32,2022/07/07,INSPECTION,,,,4013 STANLEY ROAD SW,51.01853,-114.0654
11,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,CALGARY,T2S2P5,32,2023/01/10,INSPECTION,23(1)(b)(i) - Administration records - Daily attendance of primary staff member includes arrival and departure,NOTICE OF NON-COMPLIANCE,2023/01/10,4013 STANLEY ROAD SW,51.01853,-114.0654
12,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,CALGARY,T2S2P5,32,2023/04/18,RENEWAL LICENCE INSPECTION,24(b) - Portable record - Telephone numbers of local emergency response and poison control,NOTICE OF NON-COMPLIANCE,2023/04/18,4013 STANLEY ROAD SW,51.01853,-114.0654
13,THE MANGROVE TREE PRESCHOOL,FACILITY-BASED PROGRAM,CALGARY,T2S2P5,32,2023/08/18,INSPECTION,,,,4013 STANLEY ROAD SW,51.01853,-114.0654
14,THE HEARTLAND AGENCY,FACILITY-BASED PROGRAM,CALGARY,T3H2Y3,96,2023/01/25,INSPECTION,,,,1919 SIROCCO DRIVE SW,51.03573,-114.16724
15,THE HEARTLAND AGENCY,FACILITY-BASED PROGRAM,CALGARY,T3H2Y3,96,2023/07/19,INSPECTION,10(1)(b)(ii) - Medication - Administered according to labelled directions,NOTICE OF NON-COMPLIANCE,2023/07/19,1919 SIROCCO DRIVE SW,51.03573,-114.16724
16,DISCOVERY KIDS OUT OF SCHOOL CARE LTD.,FACILITY-BASED PROGRAM,CALGARY,T2E4P3,30,2023/06/05,INITIAL LICENCE INSPECTION,,,,414 11A STREET NE,51.05529,-114.03485
17,DISCOVERY KIDS OUT OF SCHOOL CARE LTD.,FACILITY-BASED PROGRAM,CALGARY,T2E4P3,30,2023/09/06,INITIAL LICENCE INSPECTION,,,,414 11A STREET NE,51.05529,-114.03485
18,DISCOVERY KIDS OUT OF SCHOOL CARE LTD.,FACILITY-BASED PROGRAM,CALGARY,T2E4P3,30,2023/12/18,INSPECTION,,,,414 11A STREET NE,51.05529,-114.03485
19,LITTLE ROOTS LEARNING CENTRE,FACILITY-BASED PROGRAM,CALGARY,T3B5T2,37,2022/11/16,INSPECTION,,,,10623 WEST VALLEY ROAD SW,51.08726,-114.24023
20,LITTLE ROOTS LEARNING CENTRE,FACILITY-BASED PROGRAM,CALGARY,T3B5T2,37,2023/06/01,INSPECTION,,,,10623 WEST VALLEY ROAD SW,51.08726,-114.24023
21,SUMMIT KIDS - OLA,FACILITY-BASED PROGRAM,CALGARY,T3B1N5,45,2023/07/24,INITIAL LICENCE INSPECTION,,,,7311 34 AVENUE NW,51.08368,-114.192
22,CALGARY IMMIGRANT WOMEN'S ASSOCIATION LINC CHILDMINDING PROGRAM,INNOVATIVE CHILD CARE PROGRAM,CALGARY,T2G4Z6,42,2023/01/25,INSPECTION,,,,138 4 AVENUE SE,51.04941,-114.06068
23,CALGARY IMMIGRANT WOMEN'S ASSOCIATION LINC CHILDMINDING PROGRAM,INNOVATIVE CHILD CARE PROGRAM,CALGARY,T2G4Z6,42,2023/08/29,INSPECTION,,,,138 4 AVENUE SE,51.04941,-114.06068
24,AKIVA  ACADEMY,FACILITY-BASED PROGRAM,CALGARY,T2V2Y3,63,2022/10/21,INSPECTION,,,,140 HADDON ROAD SW,50.97328,-114.07804
25,AKIVA  ACADEMY,FACILITY-BASED PROGRAM,CALGARY,T2V2Y3,63,2023/04/25,INSPECTION,,,,140 HADDON ROAD SW,50.97328,-114.07804
26,AKIVA  ACADEMY,FACILITY-BASED PROGRAM,CALGARY,T2V2Y3,63,2023/10/17,INSPECTION,,,,140 HADDON ROAD SW,50.97328,-114.07804
27,SUMMIT KIDS - DOYLE,FACILITY-BASED PROGRAM,CALGARY,T3L1H6,55,2022/07/05,FOLLOW UP TO ENFORCEMENT ACTION,,,,8887 SCURFIELD DRIVE NW,51.12233,-114.2163
28,SUMMIT KIDS - DOYLE,FACILITY-BASED PROGRAM,CALGARY,T3L1H6,55,2022/10/19,INSPECTION,,,,8887 SCURFIELD DRIVE NW,51.12233,-114.2163
29,SUMMIT KIDS - DOYLE,FACILITY-BASED PROGRAM,CALGARY,T3L1H6,55,2023/04/25,INSPECTION,22(1)(d) - Children's records - Name and telephone number of emergency contact person,ORDER TO REMEDY,2023/05/17,8887 SCURFIELD DRIVE NW,51.12233,-114.2163
30,SUMMIT KIDS - DOYLE,FACILITY-BASED PROGRAM,CALGARY,T3L1H6,55,2023/05/17,FOLLOW UP TO ENFORCEMENT ACTION,,,,8887 SCURFIELD DRIVE NW,51.12233,-114.2163
31,SUMMIT KIDS - DOYLE,FACILITY-BASED PROGRAM,CALGARY,T3L1H6,55,2023/10/25,INSPECTION,,,,8887 SCURFIELD DRIVE NW,51.12233,-114.2163
32,SUMMIT KIDS - ST CECILIA,FACILITY-BASED PROGRAM,CALGARY,T2J0Z3,95,2022/11/25,INSPECTION,,,,610 AGATE CRESCENT SE,50.96489,-114.05089
33,AFFECTIO FAMILY DAY HOMES AGENCY,FAMILY DAY HOME,CALGARY,T2K5X2,42,,,,,,83 SKYLINE CRESCENT NE,51.09751,-114.04472
34,ART AND SOUL MONTESSORI CHILDCARE INC.,FAMILY DAY HOME,CALGARY,T3L2W2,24,,,,,,191 TUSCANY RAVINE VIEW NW,51.11172,-114.24162
35,DAVAR CHILD CARE SOCIETY,FAMILY DAY HOME,CALGARY,T2E8V1,1074,,,,,,817 19 STREET NE,51.0588,-114.01341
36,DISCOVERY TOTS DAYHOME LTD,FAMILY DAY HOME,CALGARY,T3H5T8,102,,,,,,402 DISCOVERY RIDGE BOULEVARD SW,51.01852,-114.22548
37,LITTLE STEPS ACADEMY INC.,FAMILY DAY HOME,CALGARY,T3G0B4,24,,,,,,600 CROWFOOT CRESCENT NW,51.12918,-114.20332
38,LIVING WATER EDUCATION LTD.,FAMILY DAY HOME,CALGARY,T3H0H4,66,,,,,,109 ASPEN STONE PLACE SW,51.04557,-114.21176
39,CHILDREN'S CHOICE COMMUNITY CHILD CARE SERVICES,DAY CARE PROGRAM,CALGARY,T2B2L9,330,,,,,,52 DOVERCREST WAY SE,51.01716,-113.99215
40,CREATIVE KIDS ACADEMY,DAY CARE PROGRAM,CALGARY,T1Y5V8,94,,,,,,3708 44 AVENUE NE,51.09133,-113.98111
41,ROSEMONT CHILD DEVELOPMENT CENTRE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2K1M8,28,,,,,,63 ROSETREE ROAD NW,51.08013,-114.08916
42,THE IMMIGRANT EDUCATION SOCIETY NE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T1Y7L9,50,,,,,,3820 32 STREET NE,51.08717,-113.98843
43,THE IMMIGRANT EDUCATION SOCIETY SE,PRE-SCHOOL PROGRAM,CALGARY,T2A7Y3,12,,,,,,1723 40 STREET SE,51.03847,-113.97592
44,1ST CLASS AFTER CLASS - CLUBHOUSE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z4B2,131,2021/08/24,COMPLAINT INVESTIGATION,,,,2 NEW BRIGHTON DRIVE SE,50.91842,-113.95436
45,1ST CLASS AFTER CLASS - DIVINE MERCY,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3M1M5,200,2021/06/17,INSPECTION,,,,228 MAHOGANY BOULEVARD SE,50.9019,-113.92376
46,1ST CLASS AFTER CLASS - FISH CREEK,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2X2Z1,162,2020/10/09,INSPECTION,,,,1039 SUNCASTLE DRIVE SE,50.90207,-114.03314
47,1ST CLASS AFTER CLASS - NEW BRIGHTON,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z4B2,182,2021/11/18,INSPECTION,,,,30 NEW BRIGHTON DRIVE SE,50.91842,-113.95436
48,1ST CLASS AFTER CLASS - SIBYLLA KIDDLE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3M0W4,200,2021/03/18,INSPECTION,,,,126 CRANFORD DRIVE SE,50.87745,-113.97154
49,1ST CLASS AFTER CLASS - SILVERADO,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2X2E2,124,2021/06/02,INSPECTION,,,,483 SILVERADO BOULEVARD SW,50.8807,-114.08657
50,1ST CLASS AFTER CLASS - ST. ALBERT,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z3X3,150,2021/11/17,INSPECTION,,,,225 PRESTWICK AVENUE SE,50.92206,-113.95965
51,1ST CLASS AFTER CLASS - ST. ISABELLA,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z4W8,90,2021/11/17,INSPECTION,,,,855 COPPERFIELD BOULEVARD SE,50.91082,-113.93675
52,1ST CLASS AFTER CLASS - ST. MARGUERITE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z0W1,60,2020/08/18,INITIAL LICENCE INSPECTION,,,,1100 NEW BRIGHTON DRIVE SE,50.92192,-113.93698
53,1ST CLASS AFTER CLASS - ST. MARGUERITE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z0W1,60,2021/03/18,INSPECTION,,,,1100 NEW BRIGHTON DRIVE SE,50.92192,-113.93698
54,1ST CLASS AFTER CLASS - ST. WILLIAM,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2J0T1,89,2020/10/06,INSPECTION,,,,11020 FAIRMOUNT DRIVE SE,50.95332,-114.05977
55,1ST CLASS AFTER CLASS CLUBHOUSE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z4B2,131,2020/07/30,INSPECTION,,,,2 NEW BRIGHTON DRIVE SE,50.91842,-113.95436
56,1ST CLASS AFTER CLASS-NEW BRIGHTON,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z4B2,182,2020/10/09,INSPECTION,,,,30 NEW BRIGHTON DRIVE SE,50.91842,-113.95436
57,1ST CLASS CHILDCARE - 130TH,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z0G4,105,2021/08/18,INSPECTION,,ORDER TO REMEDY,2021/08/27,4916 130 AVENUE SE,50.93216,-113.96196
58,1ST CLASS CHILDCARE - 130TH,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z0G4,105,2020/10/01,INITIAL LICENCE INSPECTION,,,,4916 130 AVENUE SE,50.93216,-113.96196
59,1ST CLASS CHILDCARE - 130TH,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z0G4,105,2020/11/09,VARIANCE REQUEST,,,,4916 130 AVENUE SE,50.93216,-113.96196
60,1ST CLASS CHILDCARE - 130TH,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z0G4,105,2021/01/25,INSPECTION,,,,4916 130 AVENUE SE,50.93216,-113.96196
61,1ST CLASS CHILDCARE - 130TH,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z0G4,105,2021/08/27,FOLLOW UP TO ENFORCEMENT ACTION,,,,4916 130 AVENUE SE,50.93216,-113.96196
62,1ST CLASS PRESCHOOL - NEW BRIGHTON,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z4B2,131,2020/07/30,INSPECTION,,,,2 NEW BRIGHTON DRIVE SE,50.91842,-113.95436
63,2000 DAYS PRE-KINDERGARTEN,DAY CARE PROGRAM,CALGARY,T2H0E2,79,2021/07/22,INSPECTION,,,,5728 1 STREET SW,51.0024,-114.06635
64,3 AND UP KIDS CLUB,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2J0H7,10,2021/05/27,INSPECTION,,ORDER TO REMEDY,2021/06/04,663 97 AVENUE SE,50.96602,-114.04874
65,3 AND UP KIDS CLUB,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2J0H7,10,2021/05/27,INSPECTION,,ORDER TO REMEDY,2021/06/10,663 97 AVENUE SE,50.96602,-114.04874
66,3 AND UP KIDS CLUB,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2J0H7,10,2020/09/08,INITIAL LICENCE INSPECTION,,,,663 97 AVENUE SE,50.96602,-114.04874
67,3 AND UP KIDS CLUB,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2J0H7,10,2021/06/04,FOLLOW UP TO ENFORCEMENT ACTION,,,,663 97 AVENUE SE,50.96602,-114.04874
68,A CHILD FIRST PRESCHOOL INC.,PRE-SCHOOL PROGRAM,CALGARY,T2Z3T7,24,2020/10/01,INSPECTION,,,,21 HIGH STREET SE,50.88576,-114.02676
69,A CHILD FIRST PRESCHOOL INC.,PRE-SCHOOL PROGRAM,CALGARY,T2X3R7,24,2020/09/29,INSPECTION,,,,10 CHAPARRAL DRIVE SE,50.88576,-114.02676
70,A CHILD FIRST PRESCHOOL INC.,PRE-SCHOOL PROGRAM,CALGARY,T2Z3T7,24,2021/06/09,INSPECTION,,,,21 HIGH STREET SE,50.88576,-114.02676
71,A CHILD FIRST PRESCHOOL INC. - EVERGREEN,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Y0L5,45,2020/10/07,INSPECTION,,,,322 EVERRIDGE DRIVE SW,50.91478,-114.12316
72,A CHILD FIRST PRESCHOOL INC. - ST. GIANNA,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3M0H7,100,2021/03/19,INSPECTION,,,,800 AUBURN BAY BOULEVARD SE,50.89485,-113.96947
73,A CHILD FIRST PRESCHOOL INC. - ST. SEBASTIAN,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2X0E6,60,2020/10/07,INSPECTION,,,,65 CHAPARRAL DRIVE SE,50.88509,-114.02911
74,A CHILD FIRST PRESCHOOL INC. - ST. SEBASTIAN,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2X0E6,60,2021/01/29,COMPLAINT INVESTIGATION,,,,65 CHAPARRAL DRIVE SE,50.88509,-114.02911
75,A CHILD FIRST PRESCHOOL INC. - ST. SEBASTIAN,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2X0E6,60,2021/03/19,INSPECTION,,,,65 CHAPARRAL DRIVE SE,50.88509,-114.02911
76,A CHILD FIRST PRESCHOOL INC. -ST. GIANNA,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3M0H5,100,2020/08/20,INITIAL LICENCE INSPECTION,,,,800 AUBURN BAY BOULEVARD SE,50.89485,-113.96947
77,A CHILD'S GARDEN PRESCHOOL,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3H2A4,40,2020/09/14,INSPECTION,,,,277 STRATHCONA DRIVE SW,51.04733,-114.18042
78,A CHILD'S GARDEN PRESCHOOL,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3H2A4,40,2021/07/12,CONSULTATION,,,,277 STRATHCONA DRIVE SW,51.04733,-114.18042
79,A CHILD'S GARDEN PRESCHOOL,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3H2A4,40,2021/08/24,INSPECTION,,,,277 STRATHCONA DRIVE SW,51.04733,-114.18042
80,A CHILD'S VIEW LEARNING CENTRE LTD.,DAY CARE PROGRAM,CALGARY,T2A5A1,108,2021/05/14,INSPECTION,,,,6107 4 AVENUE NE,51.05564,-113.94403
81,A CHILD'S VIEW LEARNING CENTRE LTD.,DAY CARE PROGRAM,CALGARY,T2A5A1,108,2020/07/31,COMPLAINT INVESTIGATION,,,,6107 4 AVENUE NE,51.05564,-113.94403
82,A CHILD'S VIEW LEARNING CENTRE LTD.,DAY CARE PROGRAM,CALGARY,T2A5A1,108,2020/10/22,INSPECTION,,,,6107 4 AVENUE NE,51.05564,-113.94403
83,A2Z KIDZ ED.,DAY CARE PROGRAM,CALGARY,T2H0Y2,45,2021/07/07,INSPECTION,,,,8003 FAIRMOUNT DRIVE SE,50.98375,-114.06068
84,A2Z KIDZ ED.,DAY CARE PROGRAM,CALGARY,T2H0Y2,45,2020/12/08,CONSULTATION,,,,8003 FAIRMOUNT DRIVE SE,50.98375,-114.06068
85,A2Z KIDZ ED. (2),OUT OF SCHOOL CARE PROGRAM,CALGARY,T2H1N3,42,2020/12/08,CONSULTATION,,,,416 83 AVENUE SE,50.9782,-114.05809
86,A2Z KIDZ ED. (2),OUT OF SCHOOL CARE PROGRAM,CALGARY,T2H1N3,42,2021/07/07,INSPECTION,,,,416 83 AVENUE SE,50.9782,-114.05809
87,ABC PROGRAM,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Y4W2,114,2020/08/06,VARIANCE REQUEST,,,,16520 24 STREET SW,50.90406,-114.11687
88,ABC PROGRAM,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Y4W2,114,2020/10/23,INSPECTION,,,,16520 24 STREET SW,50.90406,-114.11687
89,ACTIVE EXPLORERS PRESCHOOL,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2C0J9,30,2020/09/24,INSPECTION,,,,11166 42 STREET SE,50.95464,-113.97403
90,ACTIVE EXPLORERS PRESCHOOL,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2C0J9,30,2020/08/06,RENEWAL LICENCE INSPECTION,,,,11166 42 STREET SE,50.95464,-113.97403
91,ACTIVE EXPLORERS PRESCHOOL,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2C0J9,30,2021/10/01,VARIANCE REQUEST,,,,11166 42 STREET SE,50.95464,-113.97403
92,ACTIVE EXPLORERS PRESCHOOL,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2C0J9,30,2021/10/01,INSPECTION,,,,11166 42 STREET SE,50.95464,-113.97403
93,ACTIVE START COUNTRY HILLS,DAY CARE PROGRAM,CALGARY,T3K5P4,522,2021/12/17,INCIDENT REPORT,,ORDER TO REMEDY,2022/01/04,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
94,ACTIVE START COUNTRY HILLS,DAY CARE PROGRAM,CALGARY,T3K5P4,522,2021/12/17,INCIDENT REPORT,,ORDER TO REMEDY,2022/01/07,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
95,ACTIVE START COUNTRY HILLS,DAY CARE PROGRAM,CALGARY,T3K5P4,522,2020/10/05,INCIDENT REPORT,,ORDER TO REMEDY,2020/10/21,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
96,ACTIVE START COUNTRY HILLS,DAY CARE PROGRAM,CALGARY,T3K5P4,522,2020/08/26,INCIDENT REPORT,,ORDER TO REMEDY,2020/09/03,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
97,ACTIVE START COUNTRY HILLS,FAMILY DAY HOME,CALGARY,T3K5P4,522,2021/02/22,INCIDENT REPORT,,,,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
98,ACTIVE START COUNTRY HILLS,FAMILY DAY HOME,CALGARY,T3K5P4,522,2021/11/18,COMPLAINT INVESTIGATION,,,,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
99,ACTIVE START COUNTRY HILLS,FAMILY DAY HOME,CALGARY,T3K5P4,522,2021/11/18,INSPECTION,,,,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
100,ACTIVE START COUNTRY HILLS,FAMILY DAY HOME,CALGARY,T3K5P4,522,2020/09/03,FOLLOW UP TO ENFORCEMENT ACTION,,,,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
101,ACTIVE START COUNTRY HILLS,FAMILY DAY HOME,CALGARY,T3K5P4,522,2020/09/30,INCIDENT REPORT,,,,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
102,ACTIVE START COUNTRY HILLS,FAMILY DAY HOME,CALGARY,T3K5P4,522,2020/10/21,FOLLOW UP TO ENFORCEMENT ACTION,,,,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
103,ACTIVE START COUNTRY HILLS,FAMILY DAY HOME,CALGARY,T3K5P4,522,2020/08/26,INCIDENT REPORT,,,,60 COUNTRY HILLS LANDING NW,51.14207,-114.0721
104,ADVENTURERS SCHOOL AGE CARE LTD. MSGR N. ANDERSON,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3K4B2,40,2021/12/17,INSPECTION,,,,327 SANDARAC DRIVE NW,51.13946,-114.10375
105,ADVENTURERS SCHOOL AGE CARE LTD.: ROSEDALE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2M0C2,55,2020/12/11,INSPECTION,,,,901 11 AVENUE NW,51.06225,-114.08162
106,ADVENTURERS SCHOOL AGE CARE LTD: CAPITOL HILL,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2M3T4,70,2020/10/29,INSPECTION,,,,2210 18 STREET NW,51.07164,-114.10439
107,ADVENTURERS SCHOOL AGE CARE LTD: CAPITOL HILL,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2M3T4,70,2021/12/17,INCIDENT REPORT,,,,2210 18 STREET NW,51.07164,-114.10439
108,ADVENTURERS SCHOOL AGE CARE LTD: CHINOOK PARK,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2V0S6,45,2021/03/11,INSPECTION,,,,1312 75 AVENUE SW,50.98589,-114.09021
109,ADVENTURERS SCHOOL AGE CARE LTD: COLLINGWOOD,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2L0R6,45,2021/06/25,INSPECTION,,,,3826 COLLINGWOOD DRIVE NW,51.08583,-114.1045
110,ADVENTURERS SCHOOL AGE CARE LTD: MOTHER MARY GREENE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3A3S8,56,2021/12/16,INSPECTION,,,,115 EDENWOLD DRIVE NW,51.12438,-114.13854
111,ADVENTURERS SCHOOL AGE CARE LTD: MOTHER MARY GREENE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3A3S8,56,2020/10/15,RENEWAL LICENCE INSPECTION,,,,115 EDENWOLD DRIVE NW,51.12438,-114.13854
112,ADVENTURERS SCHOOL AGE CARE LTD: QUEEN ELIZABETH,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2N2G5,71,2020/10/29,INSPECTION,,,,512 18 STREET NW,51.05634,-114.10224
113,ADVENTURERS SCHOOL AGE CARE LTD: ST. BRIGID,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3G5S6,60,2020/12/08,INSPECTION,,,,730 CITADEL WAY NW,51.14673,-114.18711
114,ADVENTURERS SCHOOL AGE CARE LTD: TRIWOOD COMMUNITY,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2L0W1,48,2020/10/13,INSPECTION,,,,2244 CHICOUTIMI DRIVE NORTHWEST,51.08627,-114.11239
115,ADVENTURERS SCHOOL AGE CARE LTD: TRIWOOD COMMUNITY,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2L0W1,48,2021/04/23,CONSULTATION,,,,2244 CHICOUTIMI DRIVE NW,51.08627,-114.11239
116,ADVENTURERS SCHOOL AGE CARE LTD: TRIWOOD COMMUNITY,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2L0W1,48,2021/05/05,INSPECTION,,,,2244 CHICOUTIMI DRIVE NW,51.08627,-114.11239
117,ADVENTURES CHILD CARE  4,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3K2J6,45,2020/08/25,INSPECTION,,,,95 BERMUDA ROAD NW,51.13197,-114.0789
118,ADVENTURES CHILD CARE  4,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3K2J6,45,2021/06/11,INSPECTION,,,,95 BERMUDA ROAD NW,51.13197,-114.0789
119,ADVENTURES CHILD CARE 1,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2J1K6,70,2020/10/20,INSPECTION,,,,9603 5 STREET SE,50.96845,-114.05296
120,ADVENTURES CHILD CARE 1,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2J1K4,70,2021/02/17,CONSULTATION,,,,9603 5 STREET SE,50.96845,-114.05296
121,ADVENTURES CHILD CARE 1,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2J1K4,70,2021/06/18,INSPECTION,,,,9603 5 STREET SE,50.96845,-114.05296
122,ADVENTURES CHILD CARE 2,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2W0W7,40,2021/05/14,INSPECTION,,,,255 SACKVILLE DRIVE SW,50.95543,-114.08981
123,ADVENTURES CHILD CARE 2,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2W0W7,40,2021/12/10,INCIDENT REPORT,,,,255 SACKVILLE DRIVE SW,50.95543,-114.08981
124,ADVENTURES CHILD CARE 6,DAY CARE PROGRAM,CALGARY,T2E8M3,70,2020/10/02,INSPECTION,,,,950 6 STREET NE,51.06016,-114.04817
125,AKIDEMY EARLY LEARNING AND CARE,PRE-SCHOOL PROGRAM,CALGARY,T3H5P2,24,2020/09/17,INSPECTION,,,,8 WESTON DRIVE SW,51.06341,-114.19455
126,AKIVA  ACADEMY,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2V2Y3,63,2021/11/30,INSPECTION,,,,140 HADDON ROAD SW,50.97328,-114.07804
127,ALADDIN AFTER SCHOOL CARE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2W1H7,25,2020/10/21,INSPECTION,,,,303 CANTERBURY DRIVE SW,50.94776,-114.08388
128,ALADDIN DAY CARE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2W1H1,88,2020/10/21,INSPECTION,,,,11807 ELBOW DRIVE SW,50.94753,-114.08478
129,ALBERT PARK CHILD CARE CENTRE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2A0G4,52,2020/10/26,INSPECTION,,,,2839 12 AVENUE SE,51.04186,-113.99333
130,ALEXANDER FERGUSON ELEMENTARY SCHOOL SOCIETY,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3C1K5,126,2021/11/05,INSPECTION,,,,1704 26 STREET SW,51.03896,-114.12348
131,ALPHABEEZ CHILDCARE CENTRE INC.,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2P3P2,42,2021/05/28,INITIAL LICENCE INSPECTION,,,,815 8 AVENUE SW,51.04588,-114.07964
132,ALPINE MONTESSORI CHILDREN'S CENTRE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3E3L1,94,2020/11/04,INSPECTION,,,,3140 41 STREET SW,51.02564,-114.14663
