,Program Name,Type of Program,Program City,Postal Code,Capacity,Inspection Date,Inspection Reason,Non Compliance,Enforcement Action,Remedy Date,Program_Address,latitude,longitude
32422,KIDS & COMPANY EVANSTON,DAY CARE PROGRAM,CALGARY,T3P0R9,125,2017/09/20,INSPECTION,23(1)(a) - Administration Records- particulars of daily attendance of each child including arrival and departure,ORDER TO REMEDY,2017/09/25,50 EVANSTON MANOR NW,51.18085,-114.09767
32423,ADVENTURERS SCHOOL AGE CARE LTD. MSGR N. ANDERSON,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3K4B2,40,2015/03/27,INSPECTION,,,,327 SANDARAC DRIVE NW,51.13946,-114.10375
32424,CORNERSTONE CHILD DAYCARE INC.,DAY CARE PROGRAM,CALGARY,T1Y4R1,20,2018/03/01,FOLLOW UP TO ENFORCEMENT ACTION,,,,5703 24 AVENUE NE,51.0742,-113.95236
32425,ESG CHILD PLAYCARE CENTER,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3K5T7,94,2015/10/16,FOLLOW UP TO ENFORCEMENT ACTION,,,,111 COVEPARK SQUARE NE,51.16664,-114.05944
32426,INVERLEIGH CHILD CARE CENTRE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Y2C6,21,2016/10/25,FOLLOW UP TO ENFORCEMENT ACTION,,,,36 MILLRISE DRIVE SW,50.91655,-114.07506
32427,LYCEE LOUIS PASTEUR SOCIETY,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2T6G2,80,2014/04/04,FOLLOW UP TO ENFORCEMENT ACTION,20(2)(a) - Administration Records - available for inspection by director at all times,ORDER TO REMEDY,2014/04/29,4099 GARRISON BOULEVARD SW,51.01797,-114.11405
32428,CALGARY JEWISH CENTRE BABE CARE DAY CARE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2V4V7,80,2016/09/20,RENEWAL LICENCE INSPECTION,,,,1607 90 AVENUE SW,50.97209,-114.09932
32429,LYNNWOOD LEARNING CENTRE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2C1Y1,40,2016/07/07,RENEWAL LICENCE INSPECTION,,,,1A 7005 18 STREET SE,50.99072,-114.01569
32430,ABC PROGRAM,PRE-SCHOOL PROGRAM,CALGARY,T2Y4W2,20,2020/05/12,RENEWAL LICENCE INSPECTION,,,,16520 24 STREET SW,50.90406,-114.11687
32431,MCKENZIE LAKE CHILDCARE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Z1L7,90,2015/02/17,INSPECTION,,,,16198 MCKENZIE LAKE WAY SE,50.90677,-113.98312
32432,HAPPY TIME CHILD CARE CENTRE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2W4M2,50,2017/01/11,FOLLOW UP TO ENFORCEMENT ACTION,,,,11263 OAKFIELD DRIVE SW,50.95391,-114.1283
32433,PLAY WAY CHILD LEARNING CENTRE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3K4S3,40,2018/01/24,INSPECTION,,,,76 COUNTRY HILLS DRIVE NW,51.15027,-114.06639
32434,CREATIVE LEARNING CENTRE,DAY CARE PROGRAM,CALGARY,T2J7C3,40,2015/05/11,INSPECTION,,,,2120 380 CANYON MEADOWS DRIVE SE,50.93034,-114.06386
32435,ALADDIN DAY CARE,DAY CARE PROGRAM,CALGARY,T2W1H1,58,2014/10/27,FOLLOW UP TO ENFORCEMENT ACTION,,,,11807 ELBOW DRIVE SW,50.94753,-114.08478
32436,CALGARY CHILD'S PLAY OUT OF SCHOOL CARE@GLENDALE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3E3Z8,39,2018/04/17,INSPECTION,,,,2415 KELWOOD DRIVE SW,51.0322,-114.14504
32437,KIDS & COMPANY - ROYAL OAK,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3R0R5,10,2015/08/19,REGULAR INSPECTION,,,,UNIT 7243-8650 112 AVENUE NW,51.15146,-114.21073
32438,KIDS & COMPANY - ROYAL OAK,DAY CARE PROGRAM,CALGARY,T3R0R5,127,2018/08/30,INSPECTION,17(c) - Diapering - Ensure that proper hand washing procedures are followed when diapering,ORDER TO REMEDY,2018/09/14,UNIT 7243-8650 112 AVENUE NW,51.15146,-114.21073
32439,SMART KIDS DAYCARE,DAY CARE PROGRAM,CALGARY,T2A0W2,34,2020/02/07,COMPLAINT INVESTIGATION,ACT,ORDER TO REMEDY,2020/02/21,5315 17 AVENUE SE,51.03764,-113.95693
32440,MONTESSORI CASA - KILLARNEY,PRE-SCHOOL PROGRAM,CALGARY,T3E2T9,25,2015/02/10,INSPECTION,,,,3008 33 STREET  SW,51.02773,-114.1353
32441,BRITE STUDIOS,DAY CARE PROGRAM,CALGARY,T3H0N9,37,2015/12/17,INSPECTION,,,,#148 30 SPRINGBOROUGH BOULEVARD SW,51.03446,-114.19126
32442,ABC PROGRAM,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2Y4W2,90,2020/08/06,VARIANCE REQUEST,,,,16520 24 STREET SW,50.90406,-114.11687
32443,LA PRE-MATERNELLE CAPUCINE - TDJ,FACILITY-BASED PROGRAM,CALGARY,T3A0C6,21,2019/11/07,INSPECTION,18(1)(a) - Administration Records- particulars of daily attendance of each child,ORDER TO REMEDY,2019/11/14,3720 42 STREET NW,51.08529,-114.15093
32444,ZEBRA CROSSING ACADEMY,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3K0S6,30,2020/01/24,INSPECTION,SCHEDULE 4 - OUT OF SCHOOL CARE PROGRAM,ORDER TO REMEDY,2020/01/30,640 1110 PANATELLA BOULEVARD NW,51.16831,-114.08999
32445,HAYSBORO COMMUNITY PRESCHOOL,PRE-SCHOOL PROGRAM,CALGARY,T2V0W4,15,2017/01/25,INSPECTION,18(1)(a) - Administration Records- particulars of daily attendance of each child,ORDER TO REMEDY,2017/02/01,1204 89 AVENUE SW,50.97371,-114.08705
32446,KIDS LOVE BOWNESS LTD.,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3B2R8,40,2018/02/14,INSPECTION,6(1)(b) - Notice of Changes - director approval of changes to plan,VARIATION OF LICENCE PROVISIONS,2018/02/21,4631 85 STREET NW,51.09252,-114.21115
32447,PANDA CHILD DEVELOPMENT CENTRES,DAY CARE PROGRAM,CALGARY,T2M1A9,97,2018/08/28,FOLLOW UP TO ENFORCEMENT ACTION,,,,1507 19 AVENUE NW,51.06952,-114.09524
32448,CALGARY CHILD'S PLAY BEFORE AND AFTER SCHOOL CARE @ WESTGATE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3C3V4,70,2016/06/28,INSPECTION,24(1)(a) - Ratios and Maximum Group Size - minimum primary staff member to child ratio,ORDER TO REMEDY,2016/06/29,4943 8 AVENUE SW,51.04496,-114.15668
32449,A2Z KIDZ ED. (2),OUT OF SCHOOL CARE PROGRAM,CALGARY,T2H1N3,42,2016/07/06,FOLLOW UP TO ENFORCEMENT ACTION,,,,416 83 AVENUE SE,50.9782,-114.05809
32450,THORNHILL CHILD CARE - CPT. NICHOLA GODDARD OSC,OUT OF SCHOOL CARE PROGRAM,CALGARY,T3K0P3,30,2014/12/04,REGULAR INSPECTION,,,,405 PANATELLA BOULEVARD NW,51.16279,-114.09021
32451,SUNVALLEY KIDS MONTESSORI ACADIA,FACILITY-BASED PROGRAM,CALGARY,T2J0A9,64,2021/05/21,FOLLOW UP TO ENFORCEMENT ACTION,DC - 27(6) - Ratios and maximum group size - Program supervisor included in primary staff member to children ratio,ORDER TO REMEDY,2021/05/31,430 ACADIA DRIVE SE,50.96982,-114.04864
32452,FUNFLEX PLAYCARE,FACILITY-BASED PROGRAM,CALGARY,T2Z3V8,66,2019/12/13,FOLLOW UP TO ENFORCEMENT ACTION,4(2) - Off-site activity and emergency evacuation - staff member takes portable record,ORDER TO REMEDY,2019/12/20,4307 130 AVENUE SE,50.93156,-113.97155
32453,ROYAL DAYCARE CENTER LTD.,DAY CARE PROGRAM,CALGARY,T3G0E8,48,2020/06/04,INSPECTION,,,,236 500 ROYAL OAK DRIVE NW,51.13878,-114.2329
32454,BRIGHTPATH MIDNAPORE,DAY CARE PROGRAM,CALGARY,T2X1E4,81,2014/08/18,REGULAR INSPECTION,10(3)(b) - Medication - medication needed in emergency is stored in a place inaccessbile to children,ORDER TO REMEDY,2014/08/20,155 MIDRIDGE PLACE SE,50.91976,-114.05863
32455,BRIGHTPATH MARLBOROUGH,DAY CARE PROGRAM,CALGARY,T2A3V8,80,2020/03/30,CONSULTATION,,,,4603 MARBANK DRIVE NE,51.06337,-113.96838
32456,PLEASANT HEIGHTS AFTER SCHOOL #2,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2M1N7,56,2016/04/20,CRITICAL INCIDENT REPORT,25(1)(b) - Minimum staffing and general supervision - children at all times supervised,ORDER TO REMEDY,2016/05/02,602 22 AVENUE NW,51.07244,-114.0749
32457,REMINGTON YMCA CHILD DEVELOPMENT CENTRE,DAY CARE PROGRAM,CALGARY,T2C5R1,63,2017/12/07,INSPECTION,,,,108 QUARRY PARK ROAD SE,50.95719,-114.007
32458,SEEDS OF S.P.I.C.E. EARLY LEARNING CENTRE INC.,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2T2E9,75,2019/08/19,VARIANCE REQUEST,,,,1216 36 AVENUE SW,51.02178,-114.0903
32459,WONDERLAND ACADEMY LIMITED.,GROUP FAMILY CHILD CARE PROGRAM,CALGARY,T3A6L1,0,2016/07/27,INITIAL LICENCE INSPECTION,,,,244 HIDDEN CREEK ROAD NW,51.16134,-114.10236
32460,METIS CALGARY FAMILY SERVICES SOCIETY LITTLE SUNDANCE CHILDCARE CENTRE,OUT OF SCHOOL CARE PROGRAM,CALGARY,T2X2P1,34,2015/03/26,REGULAR INSPECTION,,,,352 SUNVALE DRIVE SE,50.89981,-114.04803
