CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,longitude,latitude,POINT
Residential,1,COV,COVENTRY HILLS,NORTH,COMPLETE,2000s,-114.05314852622811,51.164902994256124,POINT (-114.05314852622811 51.164902994256124)
Residential,1,CRM,CRESTMONT,WEST,DEVELOPING,2000s,-114.26908262013727,51.083718097386786,POINT (-114.26908262013727 51.083718097386786)
Residual Sub Area,4,10E,10E,NORTHEAST,FUTURE,UNDEVELOPED,-113.91622332321279,51.08145361994402,POINT (-113.91622332321279 51.08145361994402)
Residential,1,EDG,EDGEMONT,NORTHWEST,ESTABLISHED,1980s/1990s,-114.14394274641755,51.124577124411566,POINT (-114.14394274641755 51.124577124411566)
Residential,1,SGH,SAGE HILL,NORTH,DEVELOPING,BUILDING OUT,-114.14068323179569,51.17561127002888,POINT (-114.14068323179569 51.17561127002888)
Residential,1,NEB,NEW BRIGHTON,SOUTHEAST,COMPLETE,2010s,-113.94523809902019,50.92206194184796,POINT (-113.94523809902019 50.92206194184796)
Residential,1,TEM,TEMPLE,NORTHEAST,ESTABLISHED,1960s/1970s,-113.94676773063073,51.088795143698746,POINT (-113.94676773063073 51.088795143698746)
Residential,1,SOC,SOUTH CALGARY,CENTRE,ESTABLISHED,INNER CITY,-114.10207470040767,51.02680796441744,POINT (-114.10207470040767 51.02680796441744)
Residential,1,SSD,SUNNYSIDE,CENTRE,ESTABLISHED,INNER CITY,-114.0790194498662,51.05641973703086,POINT (-114.0790194498662 51.05641973703086)
Industrial,2,SKW,SKYLINE WEST,NORTH,N/A,EMPLOYMENT,-114.04740870844212,51.10333219348764,POINT (-114.04740870844212 51.10333219348764)
Residential,1,MAL,MAYLAND HEIGHTS,NORTHEAST,ESTABLISHED,1960s/1970s,-114.0133143735944,51.06083446475555,POINT (-114.0133143735944 51.06083446475555)
Industrial,2,ABP,AURORA BUSINESS PARK,NORTH,N/A,EMPLOYMENT,-114.05847560367306,51.136256491209984,POINT (-114.05847560367306 51.136256491209984)
Industrial,2,MER,MERIDIAN,NORTHEAST,N/A,EMPLOYMENT,-113.99651703833155,51.05658356956012,POINT (-113.99651703833155 51.05658356956012)
Residential,1,RUT,RUTLAND PARK,WEST,ESTABLISHED,1950s,-114.13355067140579,51.021874341150955,POINT (-114.13355067140579 51.021874341150955)
Industrial,2,GTI,GOLDEN TRIANGLE,EAST,N/A,EMPLOYMENT,-113.98757334230287,51.011512992214385,POINT (-113.98757334230287 51.011512992214385)
Residential,1,CIT,CITADEL,NORTHWEST,ESTABLISHED,1980s/1990s,-114.18385703460154,51.14451369638571,POINT (-114.18385703460154 51.14451369638571)
Residential,1,MPK,MARLBOROUGH PARK,NORTHEAST,ESTABLISHED,1960s/1970s,-113.94671779359061,51.05969259429288,POINT (-113.94671779359061 51.05969259429288)
Residential,1,COU,COUNTRY HILLS,NORTH,ESTABLISHED,1980s/1990s,-114.07988460698446,51.143768799819036,POINT (-114.07988460698446 51.143768799819036)
Residential,1,MOR,MONTEREY PARK,NORTHEAST,ESTABLISHED,2000s,-113.92687144461424,51.08145480771648,POINT (-113.92687144461424 51.08145480771648)
Residential,1,POI,POINT MCKAY,CENTRE,ESTABLISHED,1960s/1970s,-114.14614579324744,51.05953997950927,POINT (-114.14614579324744 51.05953997950927)
Residential,1,OPH,OSPREY HILL,WEST,DEVELOPING,2000s,-114.23804030937403,51.08324185095023,POINT (-114.23804030937403 51.08324185095023)
Residential,1,SPR,SPRUCE CLIFF,WEST,ESTABLISHED,1950s,-114.13647066261757,51.048325283447,POINT (-114.13647066261757 51.048325283447)
Residential,1,DDG,DOUGLASDALE/GLEN,SOUTHEAST,ESTABLISHED,1980s/1990s,-114.01191010771103,50.94844491153296,POINT (-114.01191010771103 50.94844491153296)
Residential,1,CNS,CORNERSTONE,NORTHEAST,DEVELOPING,2000s,-113.93058203535684,51.157369070418774,POINT (-113.93058203535684 51.157369070418774)
Residential,1,WLD,WILDWOOD,WEST,ESTABLISHED,1950s,-114.15851690625645,51.05825068844328,POINT (-114.15851690625645 51.05825068844328)
Residential,1,BEL,BEL-AIRE,CENTRE,ESTABLISHED,1960s/1970s,-114.08893421915188,50.9994445007323,POINT (-114.08893421915188 50.9994445007323)
Residential,1,DRN,DEER RUN,SOUTH,ESTABLISHED,1980s/1990s,-114.00908859391622,50.92540842990192,POINT (-114.00908859391622 50.92540842990192)
Industrial,2,SGL,STONEGATE LANDING,NORTHEAST,N/A,EMPLOYMENT,-113.98668170973193,51.1644703850525,POINT (-113.98668170973193 51.1644703850525)
Residual Sub Area,4,01F,01F,NORTHWEST,FUTURE,UNDEVELOPED,-114.26336586209557,51.119618566466585,POINT (-114.26336586209557 51.119618566466585)
Residential,1,PAL,PALLISER,SOUTH,ESTABLISHED,1960s/1970s,-114.11214732431061,50.9667673854943,POINT (-114.11214732431061 50.9667673854943)
Residential,1,SOM,SOMERSET,SOUTH,ESTABLISHED,1980s/1990s,-114.08137610043889,50.898906651573654,POINT (-114.08137610043889 50.898906651573654)
Residual Sub Area,4,02F,02F,NORTHWEST,N/A,OTHER,-114.17507478941316,51.160012522429504,POINT (-114.17507478941316 51.160012522429504)
Residential,1,SHN,SHAWNESSY,SOUTH,ESTABLISHED,1980s/1990s,-114.07397614861083,50.90338016187809,POINT (-114.07397614861083 50.90338016187809)
Residual Sub Area,4,10D,10D,NORTHEAST,FUTURE,UNDEVELOPED,-113.91603038744421,51.103350644763765,POINT (-113.91603038744421 51.103350644763765)
Industrial,2,EFI,EASTFIELD,EAST,N/A,EMPLOYMENT,-113.97004382093664,51.011946906279405,POINT (-113.97004382093664 51.011946906279405)
Industrial,2,SFH,SOUTH FOOTHILLS,SOUTHEAST,N/A,EMPLOYMENT,-113.97367554998624,50.971246577985994,POINT (-113.97367554998624 50.971246577985994)
Residential,1,APP,APPLEWOOD PARK,EAST,ESTABLISHED,2000s,-113.92781725088986,51.04487652836148,POINT (-113.92781725088986 51.04487652836148)
Residential,1,MRT,MARTINDALE,NORTHEAST,ESTABLISHED,1980s/1990s,-113.95838705672097,51.11791082650449,POINT (-113.95838705672097 51.11791082650449)
Residential,1,STA,ST. ANDREWS HEIGHTS,CENTRE,ESTABLISHED,1950s,-114.1274264798241,51.06391065710229,POINT (-114.1274264798241 51.06391065710229)
Residential,1,WHL,WEST HILLHURST,CENTRE,ESTABLISHED,INNER CITY,-114.11515852170044,51.05508036705824,POINT (-114.11515852170044 51.05508036705824)
Industrial,2,FRA,FRANKLIN,NORTHEAST,N/A,EMPLOYMENT,-113.9875232046842,51.05892740008481,POINT (-113.9875232046842 51.05892740008481)
Industrial,2,GRI,GREENVIEW INDUSTRIAL PARK,CENTRE,N/A,EMPLOYMENT,-114.04699218173609,51.088776405298226,POINT (-114.04699218173609 51.088776405298226)
Residential,1,WND,WINDSOR PARK,CENTRE,ESTABLISHED,1950s,-114.08354881922324,51.005043176725195,POINT (-114.08354881922324 51.005043176725195)
Residential,1,CRA,CRANSTON,SOUTHEAST,DEVELOPING,BUILDING OUT,-113.98000126836443,50.87819695828032,POINT (-113.98000126836443 50.87819695828032)
Residential,1,GLR,GLACIER RIDGE,NORTH,DEVELOPING,,-114.1683297388547,51.19042717631569,POINT (-114.1683297388547 51.19042717631569)
Residual Sub Area,4,12A,12A,SOUTHEAST,FUTURE,UNDEVELOPED,-113.89321433878365,50.96505755611735,POINT (-113.89321433878365 50.96505755611735)
Residual Sub Area,4,12J,12J,SOUTHEAST,FUTURE,UNDEVELOPED,-113.88349936275331,50.88359508585861,POINT (-113.88349936275331 50.88359508585861)
Residential,1,RUN,RUNDLE,NORTHEAST,ESTABLISHED,1960s/1970s,-113.9700581150675,51.07424055938691,POINT (-113.9700581150675 51.07424055938691)
Residential,1,ERI,ERIN WOODS,EAST,ESTABLISHED,1980s/1990s,-113.96766606152889,51.02097796847038,POINT (-113.96766606152889 51.02097796847038)
Industrial,2,SUN,SUNRIDGE,NORTHEAST,N/A,EMPLOYMENT,-113.99170150572233,51.07422335010571,POINT (-113.99170150572233 51.07422335010571)
Residential,1,MLR,MILLRISE,SOUTH,ESTABLISHED,1980s/1990s,-114.08491716140519,50.91705442083715,POINT (-114.08491716140519 50.91705442083715)
Residential,1,LEB,LEWISBURG,NORTH,DEVELOPING,BUILDING OUT,-114.03846384790074,51.18675838444553,POINT (-114.03846384790074 51.18675838444553)
Residential,1,MAN,MANCHESTER,CENTRE,ESTABLISHED,EMPLOYMENT,-114.06665044506892,51.00623887655819,POINT (-114.06665044506892 51.00623887655819)
Industrial,2,GPI,GREAT PLAINS,EAST,N/A,EMPLOYMENT,-113.93993606684484,50.98689043323465,POINT (-113.93993606684484 50.98689043323465)
Residential,1,WSP,WEST SPRINGS,WEST,DEVELOPING,BUILDING OUT,-114.20668748099315,51.05977647833082,POINT (-114.20668748099315 51.05977647833082)
Residential,1,CHK,CHINOOK PARK,SOUTH,ESTABLISHED,1950s,-114.08899395999194,50.98322823920945,POINT (-114.08899395999194 50.98322823920945)
Major Park,3,COP,CANADA OLYMPIC PARK,WEST,N/A,OTHER,-114.2172412601904,51.08074480736389,POINT (-114.2172412601904 51.08074480736389)
Residential,1,MCT,MCKENZIE TOWNE,SOUTHEAST,COMPLETE,2010s,-113.96135000086423,50.91714738046907,POINT (-113.96135000086423 50.91714738046907)
Residual Sub Area,4,09Q,09Q,EAST,N/A,OTHER,-113.93396102568603,51.02624727638693,POINT (-113.93396102568603 51.02624727638693)
Industrial,2,FLI,FOREST LAWN INDUSTRIAL,EAST,N/A,EMPLOYMENT,-113.9569720268362,51.02709697802555,POINT (-113.9569720268362 51.02709697802555)
Residential,1,DNC,DOWNTOWN COMMERCIAL CORE,CENTRE,ESTABLISHED,CENTRE CITY,-114.06959188534968,51.04727436960807,POINT (-114.06959188534968 51.04727436960807)
Residential,1,PUM,PUMP HILL,SOUTH,ESTABLISHED,1960s/1970s,-114.10073374820692,50.96683035064039,POINT (-114.10073374820692 50.96683035064039)
Residential,1,RDL,ROSEDALE,CENTRE,ESTABLISHED,INNER CITY,-114.07820921586121,51.062687197533236,POINT (-114.07820921586121 51.062687197533236)
Residential,1,SAN,SANDSTONE VALLEY,NORTH,ESTABLISHED,1980s/1990s,-114.09495605533706,51.13773675598465,POINT (-114.09495605533706 51.13773675598465)
Residential,1,SSW,SCARBORO/ SUNALTA WEST,CENTRE,ESTABLISHED,1950s,-114.11488481660311,51.04220107938268,POINT (-114.11488481660311 51.04220107938268)
Residential,1,SCE,SCENIC ACRES,NORTHWEST,ESTABLISHED,1980s/1990s,-114.21736167223385,51.1127265151315,POINT (-114.21736167223385 51.1127265151315)
Residential,1,CHV,COUNTRY HILLS VILLAGE,NORTH,COMPLETE,2000s,-114.06139518766744,51.1582040072855,POINT (-114.06139518766744 51.1582040072855)
Residential,1,KCA,KINCORA,NORTH,DEVELOPING,2000s,-114.13397078178302,51.16028503881335,POINT (-114.13397078178302 51.16028503881335)
Residential,1,RSN,REDSTONE,NORTHEAST,DEVELOPING,2000s,-113.95750383706682,51.170446510834545,POINT (-113.95750383706682 51.170446510834545)
Residential,1,RAN,RANCHLANDS,NORTHWEST,ESTABLISHED,1960s/1970s,-114.18360432759945,51.11918379639595,POINT (-114.18360432759945 51.11918379639595)
Residential,1,VIS,VISTA HEIGHTS,NORTHEAST,ESTABLISHED,1960s/1970s,-114.01770508925803,51.07193308317161,POINT (-114.01770508925803 51.07193308317161)
Residential,1,PIN,PINERIDGE,NORTHEAST,ESTABLISHED,1960s/1970s,-113.94676496367302,51.074260110899885,POINT (-113.94676496367302 51.074260110899885)
Residential,1,MPL,MAPLE RIDGE,SOUTH,ESTABLISHED,1960s/1970s,-114.03468684916005,50.95763682062698,POINT (-114.03468684916005 50.95763682062698)
Residential,1,SDC,SUNDANCE,SOUTH,ESTABLISHED,1980s/1990s,-114.04206375931831,50.90164245342379,POINT (-114.04206375931831 50.90164245342379)
Residential,1,GLA,GLAMORGAN,WEST,ESTABLISHED,1950s,-114.15322729595563,51.01511716056777,POINT (-114.15322729595563 51.01511716056777)
Residential,1,KSH,KEYSTONE HILLS,NORTH,DEVELOPING,BUILDING OUT,-114.02637799325638,51.17955925071651,POINT (-114.02637799325638 51.17955925071651)
Residential,1,STR,STRATHCONA PARK,WEST,ESTABLISHED,1980s/1990s,-114.17756239735188,51.04739543154258,POINT (-114.17756239735188 51.04739543154258)
Residential,1,HIL,HILLHURST,CENTRE,ESTABLISHED,INNER CITY,-114.09366062276861,51.05727794122541,POINT (-114.09366062276861 51.05727794122541)
Residual Sub Area,4,01C,01C,WEST,FUTURE,OTHER,-114.23717470795751,51.086797016741244,POINT (-114.23717470795751 51.086797016741244)
Residential,1,WAL,WALDEN,SOUTH,DEVELOPING,BUILDING OUT,-114.03261758102416,50.8704025844002,POINT (-114.03261758102416 50.8704025844002)
Residential,1,THO,THORNCLIFFE,NORTH,ESTABLISHED,1950s,-114.06877799049856,51.1031032569092,POINT (-114.06877799049856 51.1031032569092)
Residential,1,UOC,UNIVERSITY OF CALGARY,NORTHWEST,ESTABLISHED,OTHER,-114.12993480372722,51.0750121225745,POINT (-114.12993480372722 51.0750121225745)
Industrial,2,WES,WESTWINDS,NORTHEAST,N/A,EMPLOYMENT,-113.97005057148452,51.1033918241954,POINT (-113.97005057148452 51.1033918241954)
Major Park,3,GPK,GLENMORE PARK,SOUTH,N/A,PARKS,-114.13153263355281,50.990448420098026,POINT (-114.13153263355281 50.990448420098026)
Residential,1,ABB,ABBEYDALE,NORTHEAST,ESTABLISHED,2000s,-113.92780004626148,51.05941281215259,POINT (-113.92780004626148 51.05941281215259)
Residential,1,SOW,SOUTHWOOD,SOUTH,ESTABLISHED,1960s/1970s,-114.08317685250965,50.95775925709824,POINT (-114.08317685250965 50.95775925709824)
Residual Sub Area,4,05F,05F,NORTHEAST,FUTURE,UNDEVELOPED,-113.9164930819886,51.14703525408642,POINT (-113.9164930819886 51.14703525408642)
Residential,1,CAS,CASTLERIDGE,NORTHEAST,ESTABLISHED,1980s/1990s,-113.961029784231,51.10525737274135,POINT (-113.961029784231 51.10525737274135)
Residential,1,HUN,HUNTINGTON HILLS,NORTH,ESTABLISHED,1960s/1970s,-114.0667011472206,51.117583908420535,POINT (-114.0667011472206 51.117583908420535)
Residential,1,BNF,BANFF TRAIL,CENTRE,ESTABLISHED,1950s,-114.11512359857218,51.07421971299332,POINT (-114.11512359857218 51.07421971299332)
Residual Sub Area,4,02K,02K,NORTH,FUTURE,UNDEVELOPED,-114.19945296242446,51.19055316346715,POINT (-114.19945296242446 51.19055316346715)
Residential,1,BOW,BOWNESS,NORTHWEST,ESTABLISHED,1950s,-114.1883782352706,51.083372502974406,POINT (-114.1883782352706 51.083372502974406)
Residential,1,CLI,CLIFF BUNGALOW,CENTRE,ESTABLISHED,INNER CITY,-114.07490058575866,51.03393298031242,POINT (-114.07490058575866 51.03393298031242)
Residential,1,ALP,ALPINE PARK,SOUTH,DEVELOPING,BUILDING OUT,-114.14701702743956,50.91703561222997,POINT (-114.14701702743956 50.91703561222997)
Residential,1,HSD,HOMESTEAD,NORTHEAST,DEVELOPING,BUILDING OUT,-113.91649848212349,51.12162979686169,POINT (-113.91649848212349 51.12162979686169)
Residential,1,RID,RIDEAU PARK,CENTRE,ESTABLISHED,INNER CITY,-114.07415059983241,51.0250007658603,POINT (-114.07415059983241 51.0250007658603)
Residential,1,GRE,GREENWOOD/GREENBRIAR,NORTHWEST,DEVELOPING,1960s/1970s,-114.22298419806219,51.089866028703554,POINT (-114.22298419806219 51.089866028703554)
Residential,1,MEA,MEADOWLARK PARK,CENTRE,ESTABLISHED,1950s,-114.07735171469827,50.99785768382816,POINT (-114.07735171469827 50.99785768382816)
Industrial,2,NAW,NORTH AIRWAYS,NORTHEAST,N/A,EMPLOYMENT,-114.01085642813112,51.08713879430965,POINT (-114.01085642813112 51.08713879430965)
Residual Sub Area,4,02L,02L,NORTH,FUTURE,UNDEVELOPED,-114.12738103297556,51.1977396419114,POINT (-114.12738103297556 51.1977396419114)
Industrial,2,MLI,MAYLAND,NORTHEAST,N/A,EMPLOYMENT,-114.01030223917198,51.05239289249714,POINT (-114.01030223917198 51.05239289249714)
Residual Sub Area,4,02E,02E,NORTHWEST,FUTURE,OTHER,-114.19943703174917,51.161434401104025,POINT (-114.19943703174917 51.161434401104025)
Residual Sub Area,4,09D,09D,CENTRE,N/A,UNDEVELOPED,-114.01242088549154,51.01186219608517,POINT (-114.01242088549154 51.01186219608517)
Residential,1,MRL,MARLBOROUGH,NORTHEAST,ESTABLISHED,1960s/1970s,-113.96998736501932,51.05954284810455,POINT (-113.96998736501932 51.05954284810455)
Residential,1,ACA,ACADIA,SOUTH,ESTABLISHED,1960s/1970s,-114.0536991802465,50.972412507503364,POINT (-114.0536991802465 50.972412507503364)
Residential,1,PAT,PATTERSON,WEST,ESTABLISHED,1980s/1990s,-114.17713726071412,51.06393804685265,POINT (-114.17713726071412 51.06393804685265)
Residential,1,BRE,BRENTWOOD,NORTHWEST,ESTABLISHED,1960s/1970s,-114.13245465720416,51.09663657785795,POINT (-114.13245465720416 51.09663657785795)
Industrial,2,GBP,GLENDEER BUSINESS PARK,SOUTH,N/A,EMPLOYMENT,-114.03018920082897,50.98898682641123,POINT (-114.03018920082897 50.98898682641123)
Residential,1,ROX,ROXBORO,CENTRE,ESTABLISHED,INNER CITY,-114.06761983137218,51.0263370063138,POINT (-114.06761983137218 51.0263370063138)
Residential,1,EAG,EAGLE RIDGE,SOUTH,ESTABLISHED,1960s/1970s,-114.09929999168864,50.98508133183825,POINT (-114.09929999168864 50.98508133183825)
Residential,1,PCK,PINE CREEK,SOUTH,DEVELOPING,BUILDING OUT,-114.06786870688467,50.85631052054346,POINT (-114.06786870688467 50.85631052054346)
Residential,1,HAM,HAMPTONS,NORTHWEST,ESTABLISHED,2000s,-114.14673720673531,51.14510638647505,POINT (-114.14673720673531 51.14510638647505)
Residential,1,LPK,LINCOLN PARK,WEST,ESTABLISHED,1950s,-114.1300077959279,51.010277546883515,POINT (-114.1300077959279 51.010277546883515)
Residential,1,HAW,HAWKWOOD,NORTHWEST,ESTABLISHED,1980s/1990s,-114.17563064091,51.1309763556248,POINT (-114.17563064091 51.1309763556248)
Residential,1,HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,CENTRE,ESTABLISHED,1950s,-114.10573086995865,51.06318538262186,POINT (-114.10573086995865 51.06318538262186)
Residential,1,LKB,LAKE BONAVISTA,SOUTH,ESTABLISHED,1960s/1970s,-114.05133713913703,50.939807369660365,POINT (-114.05133713913703 50.939807369660365)
Residential,1,SVR,SYMONS VALLEY RANCH,NORTH,DEVELOPING,2000s,-114.13807726840868,51.18479925317111,POINT (-114.13807726840868 51.18479925317111)
Residential,1,MCK,MCKENZIE LAKE,SOUTHEAST,ESTABLISHED,1980s/1990s,-113.9881833556487,50.914866493922716,POINT (-113.9881833556487 50.914866493922716)
Residential,1,GRV,GREENVIEW,CENTRE,ESTABLISHED,1960s/1970s,-114.05747168170261,51.09484956759045,POINT (-114.05747168170261 51.09484956759045)
Residential,1,SPH,SPRINGBANK HILL,WEST,DEVELOPING,BUILDING OUT,-114.20980705960213,51.026573826452754,POINT (-114.20980705960213 51.026573826452754)
Residential,1,SOV,SOUTHVIEW,EAST,ESTABLISHED,1950s,-113.99733894113157,51.03415256929876,POINT (-113.99733894113157 51.03415256929876)
Residential,1,PKH,PARKHILL,CENTRE,ESTABLISHED,1950s,-114.06553506785372,51.01819939625899,POINT (-114.06553506785372 51.01819939625899)
Residual Sub Area,4,12K,12K,SOUTHEAST,N/A,UNDEVELOPED,-113.91293851909401,50.975799495121656,POINT (-113.91293851909401 50.975799495121656)
Industrial,2,CIA,CALGARY INTERNATIONAL AIRPORT,NORTHEAST,N/A,OTHER,-114.01235268222355,51.11685604692775,POINT (-114.01235268222355 51.11685604692775)
Residential,1,TUS,TUSCANY,NORTHWEST,COMPLETE,2000s,-114.24093290271826,51.12193710545527,POINT (-114.24093290271826 51.12193710545527)
Industrial,2,SRI,SADDLE RIDGE INDUSTRIAL,NORTHEAST,N/A,EMPLOYMENT,-113.97572875231302,51.125189598723416,POINT (-113.97572875231302 51.125189598723416)
Residential,1,BRT,BRITANNIA,CENTRE,ESTABLISHED,1950s,-114.08628613760271,51.01263972926731,POINT (-114.08628613760271 51.01263972926731)
Residential,1,CRE,CRESCENT HEIGHTS,CENTRE,ESTABLISHED,INNER CITY,-114.06161417040009,51.0594943811264,POINT (-114.06161417040009 51.0594943811264)
Residential,1,SVO,SILVERADO,SOUTH,DEVELOPING,BUILDING OUT,-114.07130119934261,50.88298975666629,POINT (-114.07130119934261 50.88298975666629)
Residential,1,HPK,HIGHLAND PARK,CENTRE,ESTABLISHED,1950s,-114.06205468616085,51.088019175958344,POINT (-114.06205468616085 51.088019175958344)
Residential,1,SKR,SKYVIEW RANCH,NORTHEAST,DEVELOPING,2000s,-113.95837458480817,51.15612608019934,POINT (-113.95837458480817 51.15612608019934)
Industrial,2,ST1,STONEY 1,NORTH,N/A,EMPLOYMENT,-114.02471703353378,51.16118379741086,POINT (-114.02471703353378 51.16118379741086)
Residential,1,UND,UNIVERSITY DISTRICT,NORTHWEST,ESTABLISHED,OTHER,-114.14494574862623,51.073855102651486,POINT (-114.14494574862623 51.073855102651486)
Industrial,2,SHI,SHEPARD INDUSTRIAL,SOUTHEAST,N/A,EMPLOYMENT,-113.99278425680431,50.96149067210574,POINT (-113.99278425680431 50.96149067210574)
Residential,1,BDO,BONAVISTA DOWNS,SOUTH,ESTABLISHED,1960s/1970s,-114.03150277298262,50.94373402583784,POINT (-114.03150277298262 50.94373402583784)
Residential,1,HAR,HARVEST HILLS,NORTH,ESTABLISHED,1980s/1990s,-114.05277891771084,51.14767573879288,POINT (-114.05277891771084 51.14767573879288)
Residential,1,NGM,NORTH GLENMORE PARK,WEST,ESTABLISHED,1950s,-114.11224785518577,51.001428377787725,POINT (-114.11224785518577 51.001428377787725)
Residential,1,SCA,SCARBORO,CENTRE,ESTABLISHED,INNER CITY,-114.1071836263338,51.04076590874611,POINT (-114.1071836263338 51.04076590874611)
Residential,1,OAK,OAKRIDGE,SOUTH,ESTABLISHED,1960s/1970s,-114.12961400887177,50.9696667159987,POINT (-114.12961400887177 50.9696667159987)
Residential,1,VAL,VALLEY RIDGE,WEST,ESTABLISHED,2000s,-114.2512944879681,51.095378036835996,POINT (-114.2512944879681 51.095378036835996)
Residual Sub Area,4,06A,06A,WEST,FUTURE,OTHER,-114.22987207831333,51.05927052877972,POINT (-114.22987207831333 51.05927052877972)
