CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,longitude,latitude,POINT
Industrial,2,HOR,HORIZON,NORTHEAST,N/A,EMPLOYMENT,-113.99170103997,51.088756634171176,POINT (-113.99170103997 51.088756634171176)
Residential,1,WBN,WOODBINE,SOUTH,ESTABLISHED,1980s/1990s,-114.12959299346998,50.94136073807825,POINT (-114.12959299346998 50.94136073807825)
Residual Sub Area,4,05G,05G,NORTHEAST,N/A,UNDEVELOPED,-113.9165003221115,51.13619284855831,POINT (-113.9165003221115 51.13619284855831)
Residual Sub Area,4,02B,02B,NORTH,FUTURE,UNDEVELOPED,-114.19939955328874,51.17603193831223,POINT (-114.19939955328874 51.17603193831223)
Residual Sub Area,4,01B,01B,NORTHWEST,N/A,UNDEVELOPED,-114.24259030082662,51.102837348982526,POINT (-114.24259030082662 51.102837348982526)
Industrial,2,RYV,ROYAL VISTA,NORTHWEST,N/A,,-114.20419501926632,51.14943188603309,POINT (-114.20419501926632 51.14943188603309)
Residential,1,YKV,YORKVILLE,SOUTH,DEVELOPING,BUILDING OUT,-114.08232476756994,50.87035139068286,POINT (-114.08232476756994 50.87035139068286)
Residual Sub Area,4,05D,05D,NORTHEAST,N/A,UNDEVELOPED,-113.95866183876556,51.17959764644064,POINT (-113.95866183876556 51.17959764644064)
Residential,1,EPK,ELBOW PARK,CENTRE,ESTABLISHED,INNER CITY,-114.08382114404567,51.02134352516765,POINT (-114.08382114404567 51.02134352516765)
Residential,1,ALB,ALBERT PARK/RADISSON HEIGHTS,EAST,ESTABLISHED,1950s,-113.99677791634853,51.044533828516954,POINT (-113.99677791634853 51.044533828516954)
Residential,1,RCK,ROSSCARROCK,WEST,ESTABLISHED,1950s,-114.14548786915636,51.043292331637815,POINT (-114.14548786915636 51.043292331637815)
Residential,1,COR,CORAL SPRINGS,NORTHEAST,ESTABLISHED,2000s,-113.92682720806688,51.103352912026196,POINT (-113.92682720806688 51.103352912026196)
Industrial,2,MNI,MANCHESTER INDUSTRIAL,CENTRE,N/A,EMPLOYMENT,-114.05722477756164,51.01326133170674,POINT (-114.05722477756164 51.01326133170674)
Residential,1,CGR,COUGAR RIDGE,WEST,COMPLETE,2000s,-114.20940258683716,51.07186361406898,POINT (-114.20940258683716 51.07186361406898)
Residential,1,MRN,MORAINE,NORTH,DEVELOPING,BUILDING OUT,-114.10624768264232,51.190552397569625,POINT (-114.10624768264232 51.190552397569625)
Residential,1,DRG,DEER RIDGE,SOUTH,ESTABLISHED,1980s/1990s,-114.02023270188452,50.926572947437286,POINT (-114.02023270188452 50.926572947437286)
Residential,1,HID,HIDDEN VALLEY,NORTH,ESTABLISHED,1980s/1990s,-114.1195988306011,51.1519170345778,POINT (-114.1195988306011 51.1519170345778)
Residential,1,COA,COACH HILL,WEST,ESTABLISHED,1980s/1990s,-114.18299025249314,51.05838678227981,POINT (-114.18299025249314 51.05838678227981)
Industrial,2,HIF,HIGHFIELD,CENTRE,N/A,EMPLOYMENT,-114.03720060064809,51.01853188143458,POINT (-114.03720060064809 51.01853188143458)
Residential,1,SAD,SADDLE RIDGE,NORTHEAST,DEVELOPING,2000s,-113.94562255923033,51.13058009783413,POINT (-113.94562255923033 51.13058009783413)
Residential,1,MAC,MACEWAN GLEN,NORTH,ESTABLISHED,1980s/1990s,-114.11522702701743,51.137719577768095,POINT (-114.11522702701743 51.137719577768095)
